HEROIC,ENCE,TEAM LIQUID,FAZE CLAN,VIRTUS.PRO,NATUS VINCERE,apeks,skade,we live again,karagümrük espor,where team,bystanders,entropiq,blaze esports,orgless (eu),norsemen hkraft,tournament,tournament_number,game_number,redline,afteralt,BBL ESPORTS,exhalation,digital athletics,five,mutiny,supermassive blaze,road to glory,QUESTION MARK,plan b,ding,ska esports,hall of game,tokyo manji gang,galakticos,vanir,gear up,type
3.0,6,8,5,3,4,17.0,4.0,7.0,12.0,0.0,1.0,0.0,16.0,6.0,0.0,esl_spring,0,1,,,,,,,,,,,,,,,,,,,p
2.0,14,0,20,2,1,16.0,4.0,1.0,8.0,0.0,4.0,14.0,3.0,0.0,2.0,esl_spring,0,3,,,,,,,,,,,,,,,,,,,p
3.0,13,8,0,4,7,6.0,3.0,0.0,4.0,5.0,14.0,4.0,0.0,17.0,1.0,esl_spring,0,5,,,,,,,,,,,,,,,,,,,p
25.0,9,3,2,1,2,0.0,8.0,18.0,4.0,1.0,6.0,6.0,3.0,3.0,1.0,esl_spring,0,7,,,,,,,,,,,,,,,,,,,p
0.0,9,15,1,5,11,15.0,0.0,6.0,6.0,0.0,5.0,3.0,12.0,0.0,2.0,esl_spring,0,9,,,,,,,,,,,,,,,,,,,p
13.0,3,6,20,16,0,4.0,2.0,3.0,3.0,0.0,1.0,10.0,0.0,6.0,3.0,esl_spring,0,11,,,,,,,,,,,,,,,,,,,p
10.0,3,13,8,2,20,1.0,13.0,6.0,5.0,1.0,0.0,6.0,3.0,2.0,1.0,esl_spring,0,13,,,,,,,,,,,,,,,,,,,p
10.0,19,6,4,18,6,1.0,7.0,3.0,3.0,0.0,6.0,3.0,1.0,3.0,1.0,esl_spring,0,15,,,,,,,,,,,,,,,,,,,p
3.0,7,1,3,14,4,2.0,12.0,1.0,6.0,19.0,3.0,3.0,0.0,1.0,14.0,esl_spring,0,17,,,,,,,,,,,,,,,,,,,p
0.0,6,0,5,8,1,20.0,6.0,4.0,20.0,12.0,2.0,2.0,0.0,0.0,5.0,esl_spring,0,19,,,,,,,,,,,,,,,,,,,p
9.0,21,1,19,1,2,5.0,3.0,2.0,10.0,2.0,3.0,2.0,3.0,8.0,1.0,esl_spring,0,21,,,,,,,,,,,,,,,,,,,p
16.0,3,6,2,1,15,1.0,2.0,25.0,2.0,9.0,2.0,3.0,2.0,2.0,0.0,esl_spring,0,23,,,,,,,,,,,,,,,,,,,p
14.0,6,1,4,19,4,9.0,5.0,10.0,0.0,2.0,12.0,0.0,0.0,2.0,2.0,esl_spring,0,25,,,,,,,,,,,,,,,,,,,p
6.0,1,19,13,1,4,8.0,0.0,8.0,5.0,4.0,18.0,1.0,1.0,1.0,0.0,esl_spring,0,27,,,,,,,,,,,,,,,,,,,p
1.0,7,1,5,13,18,2.0,5.0,1.0,1.0,12.0,2.0,9.0,2.0,8.0,4.0,esl_spring,0,29,,,,,,,,,,,,,,,,,,,p
12.0,0,23,0,2,7,2.0,1.0,1.0,0.0,16.0,6.0,8.0,8.0,0.0,7.0,esl_spring,0,31,,,,,,,,,,,,,,,,,,,p
8.0,1,14,7,9,7,2.0,18.0,3.0,4.0,5.0,2.0,1.0,3.0,1.0,6.0,esl_spring,0,33,,,,,,,,,,,,,,,,,,,p
0.0,5,3,6,4,6,8.0,16.0,1.0,0.0,3.0,4.0,0.0,18.0,13.0,6.0,esl_spring,0,35,,,,,,,,,,,,,,,,,,,p
3.0,11,3,13,19,8,,4.0,,,,,,,,,pcs4,1,1,5.0,2.0,9.0,1.0,4.0,2.0,1.0,8.0,0.0,,,,,,,,,,p
5.0,18,12,8,11,2,,0.0,,,,,,,,,pcs4,1,3,5.0,4.0,14.0,0.0,2.0,3.0,4.0,1.0,0.0,,,,,,,,,,p
15.0,0,0,4,8,9,,8.0,,,,,,,,,pcs4,1,5,17.0,4.0,19.0,6.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,p
14.0,3,4,10,13,10,,5.0,,,,,,,,,pcs4,1,7,22.0,2.0,0.0,2.0,3.0,1.0,2.0,0.0,0.0,,,,,,,,,,p
5.0,0,5,10,7,0,,6.0,,,,,,,,,pcs4,1,9,2.0,0.0,11.0,24.0,13.0,0.0,6.0,3.0,0.0,,,,,,,,,,p
5.0,1,4,0,11,22,,8.0,,,,,,,,,pcs4,1,11,3.0,4.0,0.0,5.0,1.0,3.0,13.0,0.0,11.0,,,,,,,,,,p
9.0,4,4,10,23,3,,13.0,,,,,,,,,pcs4,1,13,5.0,0.0,3.0,3.0,2.0,2.0,0.0,8.0,4.0,,,,,,,,,,p
4.0,1,0,8,10,0,,6.0,,,,,,,,,pcs4,1,15,3.0,0.0,11.0,1.0,25.0,8.0,1.0,14.0,1.0,,,,,,,,,,p
19.0,2,8,6,12,13,,2.0,,,,,,,,,pcs4,1,17,1.0,18.0,6.0,0.0,0.0,0.0,2.0,1.0,2.0,,,,,,,,,,p
8.0,0,8,0,17,11,,4.0,,,,,,,,,pcs4,1,19,4.0,8.0,1.0,24.0,0.0,1.0,2.0,2.0,2.0,,,,,,,,,,p
13.0,0,23,8,4,2,,0.0,,,,,,,,,pcs4,1,21,1.0,3.0,3.0,2.0,12.0,3.0,10.0,2.0,5.0,,,,,,,,,,p
2.0,8,10,3,8,20,,8.0,,,,,,,,,pcs4,1,23,9.0,1.0,2.0,3.0,4.0,0.0,3.0,11.0,1.0,,,,,,,,,,p
10.0,3,1,7,26,2,,1.0,,,,,,,,,pcs4,1,25,2.0,1.0,6.0,8.0,7.0,3.0,1.0,12.0,1.0,,,,,,,,,,p
6.0,10,20,2,6,10,,0.0,,,,,,,,,pcs4,1,27,3.0,3.0,2.0,1.0,16.0,2.0,4.0,7.0,0.0,,,,,,,,,,p
11.0,25,5,10,5,8,,8.0,,,,,,,,,pcs4,1,29,10.0,0.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,,,,,,,,,,p
3.0,1,2,1,10,4,,5.0,,,,,,,,,pcs4,1,31,22.0,3.0,3.0,14.0,1.0,10.0,10.0,3.0,0.0,,,,,,,,,,p
20.0,1,2,0,0,10,,6.0,,,,,,,,,pcs4,1,33,5.0,19.0,1.0,5.0,1.0,2.0,11.0,8.0,0.0,,,,,,,,,,p
9.0,9,4,15,1,2,,7.0,,,,,,,,,pcs4,1,35,2.0,22.0,3.0,3.0,1.0,4.0,8.0,0.0,0.0,,,,,,,,,,p
21.0,4,0,10,3,16,,1.0,,,,,,,,,pcs4,1,37,8.0,2.0,7.0,3.0,0.0,3.0,2.0,7.0,0.0,,,,,,,,,,p
11.0,0,1,21,1,8,,7.0,,,,,,,,,pcs4,1,39,3.0,9.0,1.0,2.0,7.0,5.0,10.0,1.0,2.0,,,,,,,,,,p
22.0,2,7,0,2,10,,5.0,,,,,,,,,pcs4,1,41,1.0,0.0,6.0,4.0,2.0,4.0,16.0,9.0,1.0,,,,,,,,,,p
2.0,2,1,15,5,5,,2.0,,,,,,,,,pcs4,1,43,1.0,18.0,6.0,10.0,0.0,5.0,2.0,9.0,7.0,,,,,,,,,,p
5.0,8,2,4,12,2,,5.0,,,,,,,,,pcs4,1,45,5.0,0.0,22.0,3.0,9.0,2.0,2.0,1.0,10.0,,,,,,,,,,p
8.0,13,6,5,12,12,,17.0,,,,,,,,,pcs4,1,47,2.0,2.0,1.0,2.0,2.0,5.0,2.0,0.0,4.0,,,,,,,,,,p
2.0,4,24,11,4,7,,1.0,,,,,,,,,pcs4,1,49,2.0,1.0,4.0,15.0,3.0,1.0,1.0,11.0,1.0,,,,,,,,,,p
3.0,2,24,2,7,11,,0.0,,,,,,,,,pcs4,1,51,13.0,3.0,9.0,0.0,9.0,0.0,1.0,3.0,5.0,,,,,,,,,,p
4.0,2,8,1,23,10,,2.0,,,,,,,,,pcs4,1,53,1.0,6.0,0.0,7.0,4.0,3.0,7.0,3.0,10.0,,,,,,,,,,p
4.0,12,2,0,12,3,,12.0,,,,,,,,,pcs4,1,55,0.0,1.0,22.0,1.0,10.0,3.0,6.0,0.0,3.0,,,,,,,,,,p
1.0,11,0,9,7,5,,3.0,,,,,,,,,pcs4,1,57,23.0,6.0,2.0,3.0,1.0,2.0,6.0,7.0,4.0,,,,,,,,,,p
0.0,8,1,2,0,20,,1.0,,,,,,,,,pcs4,1,59,13.0,15.0,6.0,1.0,2.0,2.0,15.0,5.0,1.0,,,,,,,,,,p
10.0,2,1,11,0,6,,8.0,,,,,,,,,pcs4,1,61,22.0,7.0,0.0,3.0,6.0,10.0,2.0,0.0,3.0,,,,,,,,,,p
1.0,15,7,9,3,18,,4.0,,,,,,,,,pcs4,1,63,0.0,3.0,1.0,3.0,4.0,14.0,1.0,2.0,7.0,,,,,,,,,,p
9.0,11,1,5,1,6,,17.0,,,,,,,,,pcs4,1,65,5.0,9.0,0.0,0.0,4.0,1.0,4.0,12.0,8.0,,,,,,,,,,p
3.0,15,6,1,18,12,,2.0,,,,,,,,,pcs4,1,67,1.0,2.0,1.0,4.0,0.0,1.0,19.0,4.0,1.0,,,,,,,,,,p
5.0,2,5,1,7,9,,25.0,,,,,,,,,pcs4,1,69,5.0,0.0,3.0,1.0,0.0,14.0,5.0,9.0,1.0,,,,,,,,,,p
4.0,19,14,0,8,3,,15.0,,,,,,,,,pcs4,1,71,3.0,8.0,6.0,4.0,0.0,0.0,6.0,0.0,4.0,,,,,,,,,,p
,3,6,2,1,9,,5.0,,,,,1.0,,3.0,,esl_summer,2,1,8.0,,,,11.0,,5.0,3.0,,13.0,16.0,1.0,0.0,,,,,,p
,3,3,14,7,6,,2.0,,,,,2.0,,2.0,,esl_summer,2,3,3.0,,,,2.0,,3.0,3.0,,16.0,2.0,10.0,16.0,,,,,,p
,0,9,1,13,8,,0.0,,,,,3.0,,4.0,,esl_summer,2,5,20.0,,,,13.0,,1.0,6.0,,10.0,2.0,0.0,1.0,,,,,,p
,2,19,2,4,8,,4.0,,,,,2.0,,2.0,,esl_summer,2,7,11.0,,,,3.0,,5.0,17.0,,1.0,3.0,6.0,2.0,,,,,,p
,0,3,7,20,19,,0.0,,,,,0.0,,1.0,,esl_summer,2,9,2.0,,,,5.0,,6.0,0.0,,13.0,4.0,9.0,1.0,,,,,,p
,7,4,22,11,0,,2.0,,,,,0.0,,13.0,,esl_summer,2,11,8.0,,,,15.0,,2.0,1.0,,4.0,1.0,2.0,0.0,,,,,,p
,4,2,1,23,12,,3.0,,,,,0.0,,2.0,,esl_summer,2,13,13.0,,,,11.0,,5.0,0.0,,1.0,6.0,10.0,0.0,,,,,,p
,2,20,18,2,2,,1.0,,,,,5.0,,5.0,,esl_summer,2,15,5.0,,,,1.0,,1.0,4.0,,14.0,4.0,6.0,1.0,,,,,,p
,12,7,17,1,18,,8.0,,,,,1.0,,5.0,,esl_summer,2,17,2.0,,,,2.0,,0.0,8.0,,4.0,1.0,3.0,3.0,,,,,,p
,6,4,2,17,10,,1.0,,,,,6.0,,4.0,,esl_summer,2,19,6.0,,,,17.0,,3.0,5.0,,2.0,6.0,0.0,3.0,,,,,,p
,7,18,10,2,4,,0.0,,,,,2.0,,18.0,,esl_summer,2,21,0.0,,,,5.0,,5.0,2.0,,1.0,9.0,7.0,1.0,,,,,,p
,8,11,1,11,5,,3.0,,,,,2.0,,2.0,,esl_summer,2,23,9.0,,,,7.0,,1.0,1.0,,24.0,2.0,2.0,3.0,,,,,,p
,8,5,2,10,11,,0.0,,,,,9.0,,1.0,,esl_summer,3,1,2.0,,,,25.0,,0.0,11.0,,1.0,3.0,1.0,1.0,,,,,,p
,1,7,1,24,2,,12.0,,,,,0.0,,7.0,,esl_summer,3,3,4.0,,,,9.0,,11.0,0.0,,4.0,0.0,4.0,4.0,,,,,,p
,1,11,6,14,0,,1.0,,,,,8.0,,3.0,,esl_summer,3,5,8.0,,,,14.0,,1.0,4.0,,1.0,11.0,4.0,2.0,,,,,,p
,12,18,19,4,6,,1.0,,,,,6.0,,0.0,,esl_summer,3,7,6.0,,,,5.0,,0.0,4.0,,5.0,1.0,1.0,3.0,,,,,,p
,0,12,2,15,1,,1.0,,,,,1.0,,6.0,,esl_summer,3,9,12.0,,,,9.0,,0.0,4.0,,3.0,2.0,22.0,1.0,,,,,,p
,14,1,16,10,0,,4.0,,,,,6.0,,1.0,,esl_summer,3,11,1.0,,,,9.0,,6.0,1.0,,20.0,0.0,0.0,2.0,,,,,,p
,2,7,6,10,3,,0.0,,,,,0.0,,6.0,,esl_summer,3,13,0.0,,,,12.0,,6.0,26.0,,4.0,0.0,6.0,4.0,,,,,,p
,6,9,10,19,4,,1.0,,,,,0.0,,3.0,,esl_summer,3,15,10.0,,,,17.0,,5.0,6.0,,1.0,0.0,0.0,0.0,,,,,,p
,9,2,12,3,18,,6.0,,,,,3.0,,1.0,,esl_summer,3,17,17.0,,,,3.0,,0.0,3.0,,7.0,4.0,1.0,1.0,,,,,,p
,3,4,2,19,4,,2.0,,,,,3.0,,0.0,,esl_summer,3,19,8.0,,,,9.0,,1.0,15.0,,1.0,0.0,18.0,1.0,,,,,,p
,7,2,4,3,14,,17.0,,,,,5.0,,3.0,,esl_summer,3,21,4.0,,,,0.0,,3.0,6.0,,1.0,3.0,19.0,0.0,,,,,,p
,1,4,3,8,8,,13.0,,,,,4.0,,8.0,,esl_summer,3,23,0.0,,,,2.0,,1.0,0.0,,14.0,3.0,3.0,16.0,,,,,,p
7.0,14,4,1,18,0,,,,,,,,,,,pcs5,4,1,,,7.0,7.0,6.0,,,2.0,,3.0,,,,5.0,4.0,0.0,13.0,1.0,p
4.0,7,2,11,8,4,,,,,,,,,,,pcs5,4,3,,,5.0,16.0,5.0,,,0.0,,0.0,,,,2.0,0.0,8.0,14.0,4.0,p
19.0,3,8,6,9,8,,,,,,,,,,,pcs5,4,5,,,4.0,1.0,21.0,,,1.0,,2.0,,,,3.0,1.0,0.0,3.0,4.0,p
20.0,4,6,7,11,0,,,,,,,,,,,pcs5,4,7,,,8.0,1.0,12.0,,,2.0,,2.0,,,,0.0,12.0,0.0,3.0,5.0,p
13.0,2,5,2,21,5,,,,,,,,,,,pcs5,4,9,,,1.0,5.0,10.0,,,1.0,,0.0,,,,0.0,1.0,20.0,1.0,4.0,p
4.0,0,5,4,9,5,,,,,,,,,,,pcs5,4,11,,,25.0,1.0,0.0,,,8.0,,3.0,,,,2.0,0.0,13.0,3.0,10.0,p
11.0,17,4,7,0,14,,,,,,,,,,,pcs5,4,13,,,8.0,8.0,4.0,,,3.0,,3.0,,,,4.0,3.0,5.0,1.0,2.0,p
5.0,0,2,2,10,12,,,,,,,,,,,pcs5,4,15,,,2.0,2.0,5.0,,,12.0,,0.0,,,,15.0,5.0,10.0,3.0,7.0,p
3.0,11,5,6,2,0,,,,,,,,,,,pcs5,4,17,,,24.0,0.0,11.0,,,2.0,,14.0,,,,2.0,5.0,4.0,2.0,2.0,p
13.0,4,11,0,6,7,,,,,,,,,,,pcs5,4,19,,,3.0,12.0,14.0,,,4.0,,8.0,,,,1.0,6.0,2.0,0.0,3.0,p
3.0,5,18,2,4,3,,,,,,,,,,,pcs5,4,21,,,11.0,5.0,0.0,,,18.0,,0.0,,,,4.0,1.0,0.0,4.0,13.0,p
2.0,6,6,5,13,3,,,,,,,,,,,pcs5,4,23,,,0.0,3.0,7.0,,,3.0,,17.0,,,,3.0,2.0,8.0,1.0,13.0,p
5.0,14,0,3,4,8,,,,,,,,,,,pcs5,4,25,,,7.0,0.0,4.0,,,2.0,,10.0,,,,19.0,3.0,3.0,7.0,0.0,p
1.0,10,16,0,20,11,,,,,,,,,,,pcs5,4,27,,,1.0,0.0,2.0,,,8.0,,9.0,,,,6.0,0.0,0.0,4.0,1.0,p
3.0,9,11,14,5,4,,,,,,,,,,,pcs5,4,29,,,0.0,1.0,1.0,,,5.0,,21.0,,,,1.0,1.0,1.0,13.0,4.0,p
10.0,5,14,6,2,23,,,,,,,,,,,pcs5,4,31,,,0.0,0.0,18.0,,,7.0,,0.0,,,,1.0,0.0,3.0,2.0,1.0,p
2.0,11,26,6,6,1,,,,,,,,,,,pcs5,4,33,,,1.0,3.0,10.0,,,5.0,,1.0,,,,0.0,3.0,0.0,6.0,11.0,p
1.0,9,12,22,7,1,,,,,,,,,,,pcs5,4,35,,,0.0,11.0,5.0,,,4.0,,0.0,,,,1.0,1.0,3.0,0.0,16.0,p
1.0,3,10,1,4,19,,,,,,,,,,,pcs5,4,37,,,2.0,5.0,6.0,,,0.0,,3.0,,,,3.0,13.0,5.0,16.0,0.0,p
0.0,1,0,10,0,4,,,,,,,,,,,pcs5,4,39,,,15.0,0.0,5.0,,,4.0,,7.0,,,,4.0,28.0,5.0,0.0,8.0,p
1.0,3,9,4,0,16,,,,,,,,,,,pcs5,4,41,,,7.0,16.0,5.0,,,5.0,,0.0,,,,4.0,10.0,1.0,8.0,0.0,p
9.0,0,10,28,4,2,,,,,,,,,,,pcs5,4,43,,,2.0,1.0,8.0,,,18.0,,1.0,,,,0.0,1.0,9.0,2.0,0.0,p
25.0,3,1,0,0,8,,,,,,,,,,,pcs5,4,45,,,1.0,13.0,10.0,,,1.0,,3.0,,,,0.0,0.0,17.0,3.0,7.0,p
2.0,8,4,1,2,26,,,,,,,,,,,pcs5,4,47,,,13.0,3.0,12.0,,,5.0,,1.0,,,,3.0,1.0,6.0,0.0,4.0,p
1.0,19,5,1,13,14,,,,,,,,,,,pcs5,4,49,,,3.0,2.0,5.0,,,5.0,,3.0,,,,4.0,0.0,14.0,4.0,0.0,p
2.0,1,2,1,23,7,,,,,,,,,,,pcs5,4,51,,,1.0,4.0,3.0,,,6.0,,16.0,,,,16.0,2.0,2.0,8.0,0.0,p
3.0,3,5,3,4,7,,,,,,,,,,,pcs5,4,53,,,7.0,2.0,1.0,,,10.0,,4.0,,,,4.0,24.0,14.0,4.0,0.0,p
2.0,7,3,18,2,15,,,,,,,,,,,pcs5,4,55,,,10.0,2.0,4.0,,,0.0,,1.0,,,,11.0,1.0,10.0,4.0,1.0,p
4.0,5,10,2,15,0,,,,,,,,,,,pcs5,4,57,,,21.0,2.0,3.0,,,1.0,,3.0,,,,1.0,11.0,0.0,9.0,1.0,p
0.0,10,1,13,8,0,,,,,,,,,,,pcs5,4,59,,,5.0,7.0,1.0,,,0.0,,9.0,,,,4.0,2.0,23.0,8.0,1.0,p
7.0,20,3,1,3,8,,,,,,,,,,,pcs5,4,61,,,11.0,1.0,1.0,,,1.0,,10.0,,,,3.0,1.0,13.0,5.0,5.0,p
5.0,2,2,3,2,15,,,,,,,,,,,pcs5,4,63,,,16.0,7.0,21.0,,,2.0,,1.0,,,,5.0,2.0,1.0,2.0,5.0,p
10.0,11,6,2,0,1,,,,,,,,,,,pcs5,4,65,,,2.0,1.0,10.0,,,0.0,,19.0,,,,5.0,5.0,4.0,10.0,5.0,p
14.0,6,13,18,8,7,,,,,,,,,,,pcs5,4,67,,,4.0,1.0,0.0,,,3.0,,7.0,,,,5.0,2.0,0.0,1.0,1.0,p
11.0,3,2,6,1,5,,,,,,,,,,,pcs5,4,69,,,9.0,0.0,3.0,,,0.0,,24.0,,,,1.0,9.0,9.0,3.0,2.0,p
6.0,8,5,14,26,0,,,,,,,,,,,pcs5,4,71,,,4.0,0.0,10.0,,,2.0,,2.0,,,,5.0,3.0,3.0,3.0,1.0,p
